Codigodo fundo,Setor,Preco Atual,Liquidez Diaria,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Media,DY (6M)Media,DY (12M)Media,DY Ano,Variacao Preco,Rentab.Periodo,Rentab.Acumulada,PatrimonioLiq.,VPA,P/VPA,DYPatrimonial,VariacaoPatrimonial,Rentab. Patr.no Periodo,Rentab. Patr.Acumulada,VacanciaFisica,VacanciaFinanceira,QuantidadeAtivos
FATN11,Hibrido,"R$ 99,00",2.0,"R$ 0,66","0,67%","1,93%","3,61%","6,75%","0,64%","0,60%","0,56%","1,93%","-4,85%","-4,21%","-0,19%","R$ 55.626.400,22","R$ 100,34","0,99",N/A,N/A,N/A,N/A,"0,00%",N/A,7
BREV11,Hibrido,"R$ 107,77",1.0,"R$ 0,43","0,40%","1,02%","2,21%","0,00%","0,34%","0,37%","0,00%","1,02%","-0,95%","-0,56%","-5,08%","R$ 98.947.410,46","R$ 106,02","1,02",N/A,N/A,N/A,N/A,"21,00%",N/A,12
MGFF11,Titulos e Val. Mob.,"R$ 85,00",19681.0,"R$ 0,65","0,75%","2,24%","4,10%","7,69%","0,75%","0,68%","0,64%","2,24%","-0,78%","-0,03%","2,79%","R$ 772.429.900,08","R$ 85,35","1,00",N/A,N/A,N/A,N/A,N/A,N/A,0
CARE11,Hibrido,"R$ 0,56",2170245.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 289.227.548,05","R$ 1,62","0,35",N/A,N/A,N/A,N/A,N/A,N/A,0
RECT11,Hibrido,"R$ 81,84",35876.0,"R$ 0,60","0,68%","2,25%","4,50%","9,31%","0,75%","0,75%","0,78%","2,25%","1,32%","2,01%","-5,99%","R$ 768.360.581,24","R$ 93,94","0,87",N/A,N/A,N/A,N/A,"32,80%",N/A,8
BLMR11,Titulos e Val. Mob.,"R$ 88,97",9779.0,"R$ 0,55","0,61%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,11%","-1,12%","-0,52%","-0,52%","R$ 243.581.512,70","R$ 95,37","0,93",N/A,N/A,N/A,N/A,N/A,N/A,0
CXRI11,Hibrido,"R$ 97,80",194.0,"R$ 0,60","0,59%","1,71%","3,21%","7,28%","0,57%","0,53%","0,61%","1,71%","0,47%","1,06%","-8,94%","R$ 148.670.811,49","R$ 94,35","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
FAED11,Outros,"R$ 164,50",777.0,"R$ 1,12","0,64%","2,03%","3,90%","7,38%","0,68%","0,65%","0,62%","2,03%","-9,08%","-8,50%","-9,85%","R$ 137.332.028,93","R$ 213,86","0,77",N/A,N/A,N/A,N/A,"0,00%",N/A,3
CEOC11,Lajes Corporativas,"R$ 70,62",608.0,"R$ 0,45","0,64%","1,93%","3,68%","7,43%","0,64%","0,61%","0,62%","1,93%","1,24%","1,89%","1,19%","R$ 157.364.588,40","R$ 86,67","0,81",N/A,N/A,N/A,N/A,"0,00%",N/A,1
BMLC11,Lajes Corporativas,"R$ 92,89",79.0,"R$ 0,51","0,55%","1,65%","3,68%","7,30%","0,55%","0,61%","0,61%","1,65%","-1,87%","-1,33%","-0,96%","R$ 106.682.383,60","R$ 106,85","0,87",N/A,N/A,N/A,N/A,"5,40%",N/A,2
BCFF11,Titulos e Val. Mob.,"R$ 85,83",47538.0,"R$ 0,56","0,65%","1,88%","3,58%","6,45%","0,63%","0,60%","0,54%","1,88%","-5,27%","-4,65%","-5,72%","R$ 1.711.037.350,87","R$ 83,21","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
DRIT11B,Lajes Corporativas,"R$ 110,49",104.0,"R$ 0,36","0,30%","0,78%","1,76%","3,57%","0,26%","0,29%","0,30%","0,78%","0,00%","0,30%","-7,11%","R$ 60.795.124,28","R$ 131,23","0,84",N/A,N/A,N/A,N/A,"23,72%",N/A,6
ONEF11,Lajes Corporativas,"R$ 140,40",82.0,"R$ 0,64","0,46%","1,34%","2,62%","5,18%","0,45%","0,44%","0,43%","1,77%","-5,14%","-4,71%","-3,52%","R$ 146.209.311,60","R$ 160,49","0,87",N/A,N/A,N/A,N/A,"0,00%",N/A,1
HCTR11,Outros,"R$ 147,00",71979.0,"R$ 2,00","1,33%","4,10%","9,06%","15,88%","1,37%","1,51%","1,32%","4,10%","0,09%","1,42%","0,42%","R$ 827.691.426,98","R$ 115,63","1,27",N/A,N/A,N/A,N/A,N/A,N/A,0
RECR11,Titulos e Val. Mob.,"R$ 107,69",29626.0,"R$ 1,00","0,92%","3,07%","7,02%","12,08%","1,02%","1,17%","1,01%","3,07%","-5,07%","-4,20%","0,41%","R$ 1.356.527.564,54","R$ 95,29","1,13",N/A,N/A,N/A,N/A,N/A,N/A,0
BTCR11,Titulos e Val. Mob.,"R$ 93,11",7511.0,"R$ 0,65","0,70%","2,01%","3,84%","6,48%","0,67%","0,64%","0,54%","2,01%","3,56%","4,28%","6,44%","R$ 465.032.643,90","R$ 96,68","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
THRA11,Lajes Corporativas,"R$ 136,00",1461.0,"R$ 0,32","0,24%","0,76%","2,04%","4,70%","0,25%","0,34%","0,39%","0,76%","1,12%","1,36%","3,06%","R$ 167.939.494,27","R$ 114,03","1,19",N/A,N/A,N/A,N/A,"9,81%",N/A,1
TORD11,Outros,"R$ 10,70",379849.0,"R$ 0,06","0,51%","2,90%","6,64%","0,00%","0,97%","1,11%","0,00%","2,90%","3,79%","4,32%","1,12%","R$ 139.136.325,71","R$ 10,27","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
CRFF11,Titulos e Val. Mob.,"R$ 78,50",28.0,"R$ 0,50","0,62%","1,75%","3,26%","6,21%","0,58%","0,54%","0,52%","1,75%","-0,63%","-0,01%","-0,09%","R$ 63.928.580,03","R$ 92,64","0,85",N/A,N/A,N/A,N/A,N/A,N/A,0
VXXV11,Outros,N/A,N/A,"R$ 10,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 72.104.144,88","R$ 1.386,62",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
GGRC11,Logistica,"R$ 120,29",24972.0,"R$ 0,68","0,54%","1,66%","3,20%","6,18%","0,55%","0,53%","0,51%","1,66%","-11,35%","-10,87%","-9,84%","R$ 965.944.774,11","R$ 124,50","0,97",N/A,N/A,N/A,N/A,"0,00%","0,00%",15
RBBV11,Titulos e Val. Mob.,"R$ 97,00",478.0,"R$ 0,95","0,98%","2,76%","5,61%","6,82%","0,92%","0,93%","0,57%","2,76%","-2,97%","-2,02%","1,87%","R$ 126.547.951,44","R$ 100,90","0,96",N/A,N/A,N/A,N/A,N/A,N/A,1
DMAC11,Residencial,"R$ 20,59",2244.0,"R$ 29,05","36,32%","37,99%","40,96%","45,22%","12,66%","6,83%","3,77%","39,24%","-23,09%","4,85%","2,99%","R$ 16.794.383,11","R$ 107,58","0,19",N/A,N/A,N/A,N/A,N/A,N/A,0
RCRB11,Lajes Corporativas,"R$ 155,01",3549.0,"R$ 0,80","0,52%","1,51%","2,99%","6,25%","0,50%","0,50%","0,52%","1,99%","-3,18%","-2,68%","-4,86%","R$ 727.372.877,38","R$ 197,08","0,79",N/A,N/A,N/A,N/A,"7,40%",N/A,10
MBRF11,Outros,"R$ 850,00",213.0,"R$ 7,15","0,91%","2,44%","4,38%","8,71%","0,81%","0,73%","0,73%","3,13%","-9,12%","-8,29%","-18,41%","R$ 115.903.506,84","R$ 1.140,06","0,75",N/A,N/A,N/A,N/A,"0,00%",N/A,2
RBRP11,Outros,"R$ 88,24",24469.0,"R$ 0,50","0,54%","1,65%","3,44%","6,81%","0,55%","0,57%","0,57%","1,65%","1,21%","1,76%","-4,86%","R$ 747.604.356,35","R$ 87,41","1,01",N/A,N/A,N/A,N/A,"10,00%","13,00%",15
RBLG11,Logistica,"R$ 109,50",59.0,"R$ 0,30","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 70.973.675,08","R$ 110,86","0,99",N/A,N/A,N/A,N/A,N/A,N/A,0
RRCI11,Titulos e Val. Mob.,"R$ 90,94",605.0,"R$ 0,66","0,75%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,45%","0,00%","0,75%","1,46%","R$ 46.342.781,71","R$ 96,20","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
CVBI11,Titulos e Val. Mob.,"R$ 105,75",37787.0,"R$ 0,85","0,80%","3,08%","7,38%","11,41%","1,03%","1,23%","0,95%","3,08%","-2,97%","-2,19%","1,06%","R$ 596.133.216,06","R$ 100,07","1,06",N/A,N/A,N/A,N/A,N/A,N/A,0
RVBI11,Titulos e Val. Mob.,"R$ 92,97",3514.0,"R$ 0,72","0,78%","2,27%","4,36%","7,67%","0,76%","0,73%","0,64%","2,27%","0,46%","1,24%","-1,39%","R$ 136.296.671,71","R$ 94,65","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
CPFF11,Hibrido,"R$ 82,16",9634.0,"R$ 0,75","0,90%","2,81%","5,53%","7,53%","0,94%","0,92%","0,63%","2,81%","0,02%","0,93%","0,52%","R$ 332.336.800,98","R$ 83,63","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
IBFF11,Titulos e Val. Mob.,"R$ 71,84",1787.0,"R$ 0,39","0,53%","1,57%","3,22%","6,31%","0,52%","0,54%","0,53%","1,57%","-2,67%","-2,15%","-5,96%","R$ 56.959.683,31","R$ 85,44","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
IRDM11,Titulos e Val. Mob.,"R$ 139,29",51762.0,"R$ 1,28","0,92%","2,71%","5,85%","10,52%","0,90%","0,98%","0,88%","2,71%","-1,25%","-0,34%","-2,37%","R$ 2.021.543.976,46","R$ 100,85","1,38",N/A,N/A,N/A,N/A,N/A,N/A,0
VGIR11,Titulos e Val. Mob.,"R$ 94,48",8908.0,"R$ 0,50","0,53%","1,54%","3,05%","6,25%","0,51%","0,51%","0,52%","1,54%","4,11%","4,67%","7,76%","R$ 435.738.002,39","R$ 96,69","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
FEXC11,Titulos e Val. Mob.,"R$ 94,11",5435.0,"R$ 1,02","1,07%","2,69%","4,34%","8,47%","0,90%","0,72%","0,71%","2,69%","1,76%","2,84%","3,53%","R$ 327.804.671,18","R$ 95,79","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
RELG11,Hibrido,"R$ 98,96",4051.0,"R$ 0,86","0,86%","2,27%","0,00%","0,00%","0,76%","0,00%","0,00%","2,27%","3,07%","3,96%","4,04%","R$ 89.582.612,15","R$ 96,19","1,03",N/A,N/A,N/A,N/A,"15,50%","15,50%",3
RBRL11,Logistica,"R$ 108,50",10676.0,"R$ 0,63","0,59%","1,72%","3,52%","7,34%","0,57%","0,59%","0,61%","1,72%","-0,08%","0,50%","1,07%","R$ 603.493.988,52","R$ 106,56","1,02",N/A,N/A,N/A,N/A,"0,00%","0,00%",6
SCPF11,Shoppings,"R$ 9,20",387.0,"R$ 0,00","0,04%","0,68%","1,73%","2,96%","0,23%","0,29%","0,25%","0,68%","1,33%","1,37%","-9,14%","R$ 52.973.753,33","R$ 12,61","0,73",N/A,N/A,N/A,N/A,"25,10%",N/A,1
MGHT11,Hotel,"R$ 97,50",262.0,"R$ 0,60","0,62%","1,94%","3,43%","6,64%","0,65%","0,57%","0,55%","1,94%","0,47%","1,09%","-0,61%","R$ 106.036.443,32","R$ 101,17","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
CPTS11,Titulos e Val. Mob.,"R$ 102,21",88490.0,"R$ 1,01","0,98%","3,04%","6,03%","10,28%","1,01%","1,00%","0,86%","3,04%","3,33%","4,34%","3,38%","R$ 1.748.061.798,94","R$ 95,11","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRY11,Titulos e Val. Mob.,"R$ 103,98",7168.0,"R$ 0,70","0,66%","2,08%","4,30%","8,03%","0,69%","0,72%","0,67%","2,08%","0,28%","0,94%","0,95%","R$ 351.034.322,70","R$ 103,33","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRR11,Titulos e Val. Mob.,"R$ 100,81",18706.0,"R$ 0,70","0,70%","1,96%","3,65%","6,83%","0,65%","0,61%","0,57%","1,96%","2,96%","3,68%","6,03%","R$ 756.871.571,86","R$ 99,09","1,02",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRF11,Titulos e Val. Mob.,"R$ 93,53",35038.0,"R$ 0,60","0,64%","1,89%","4,34%","7,92%","0,63%","0,72%","0,66%","1,89%","1,06%","1,71%","-4,05%","R$ 1.253.694.924,34","R$ 91,64","1,02",N/A,N/A,N/A,N/A,N/A,N/A,0
BBFO11,Titulos e Val. Mob.,"R$ 91,00",654.0,"R$ 0,50","0,51%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,12%","2,51%","3,03%","4,76%","R$ 389.795.067,98","R$ 97,35","0,93",N/A,N/A,N/A,N/A,N/A,N/A,0
BLCP11,Outros,"R$ 103,37",11.0,"R$ 0,68","0,65%","2,01%","4,14%","0,00%","0,67%","0,69%","0,00%","2,01%","2,04%","2,71%","1,79%","R$ 195.040.017,77","R$ 101,49","1,02",N/A,N/A,N/A,N/A,N/A,N/A,2
MORE11,Titulos e Val. Mob.,"R$ 94,00",2878.0,"R$ 0,57","0,59%","1,56%","4,05%","0,00%","0,52%","0,67%","0,00%","1,56%","-2,02%","-1,44%","-11,16%","R$ 229.316.670,62","R$ 98,88","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
MCCI11,Titulos e Val. Mob.,"R$ 103,02",36384.0,"R$ 0,70","0,68%","2,03%","3,79%","7,42%","0,68%","0,63%","0,62%","2,03%","-2,48%","-1,81%","1,40%","R$ 885.932.304,42","R$ 99,24","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
TRNT11,Lajes Corporativas,"R$ 146,00",230.0,"R$ 0,31","0,19%","0,71%","1,50%","3,19%","0,24%","0,25%","0,27%","0,71%","-2,35%","-2,16%","5,95%","R$ 816.249.354,88","R$ 207,40","0,70",N/A,N/A,N/A,N/A,"39,40%",N/A,1
VGIP11,Outros,"R$ 104,39",23772.0,"R$ 0,85","0,81%","2,82%","6,42%","11,34%","0,94%","1,07%","0,94%","2,82%","-9,25%","-8,52%","-5,43%","R$ 332.556.512,59","R$ 95,17","1,10",N/A,N/A,N/A,N/A,N/A,N/A,0
GCFF11,Titulos e Val. Mob.,"R$ 97,90",1696.0,"R$ 0,92","0,94%","2,74%","5,36%","0,00%","0,91%","0,89%","0,00%","2,74%","-2,49%","-1,57%","7,03%","R$ 32.936.934,84","R$ 97,27","1,01",N/A,N/A,N/A,N/A,N/A,N/A,0
WTSP11B,Hibrido,"R$ 49,70",9.0,"R$ 0,17","0,33%","0,78%","1,54%","3,49%","0,26%","0,26%","0,29%","0,78%","-3,90%","-3,58%","-4,74%","R$ 79.151.217,54","R$ 79,74","0,62",N/A,N/A,N/A,N/A,N/A,N/A,0
OULG11,Outros,"R$ 70,40",3851.0,"R$ 0,50","0,69%","2,04%","4,19%","8,13%","0,68%","0,70%","0,68%","2,04%","0,64%","1,34%","-5,04%","R$ 232.812.018,34","R$ 93,83","0,75",N/A,N/A,N/A,N/A,"0,00%",N/A,2
OUFF11,Titulos e Val. Mob.,"R$ 83,50",3764.0,"R$ 0,70","0,83%","2,21%","4,53%","8,43%","0,74%","0,76%","0,70%","2,21%","-0,46%","0,37%","-1,66%","R$ 161.754.057,18","R$ 89,15","0,94",N/A,N/A,N/A,N/A,N/A,N/A,0
XPIN11,Outros,"R$ 109,26",10265.0,"R$ 0,62","0,56%","1,65%","3,25%","6,43%","0,55%","0,54%","0,54%","1,65%","-0,75%","-0,20%","-1,78%","R$ 729.732.294,31","R$ 110,79","0,99",N/A,N/A,N/A,N/A,"7,30%",N/A,5
ARCT11,Hibrido,"R$ 116,00",3367.0,"R$ 2,31","2,04%","6,63%","10,69%","18,55%","2,21%","1,78%","1,55%","6,63%","-18,70%","-17,04%","-13,21%","R$ 42.242.859,00","R$ 97,31","1,19",N/A,N/A,N/A,N/A,N/A,N/A,2
ALZR11,Logistica,"R$ 128,21",10757.0,"R$ 0,61","0,47%","1,32%","2,22%","4,87%","0,44%","0,37%","0,41%","1,32%","5,10%","5,59%","1,21%","R$ 459.176.735,74","R$ 102,51","1,25",N/A,N/A,N/A,N/A,"0,00%",N/A,13
EVBI11,Hibrido,"R$ 100,99",1242.0,"R$ 0,64",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 105.838.049,81","R$ 97,78","1,03",N/A,N/A,N/A,N/A,N/A,N/A,0
OURE11,Titulos e Val. Mob.,"R$ 89,34",542.0,"R$ 0,75","0,83%","2,17%","4,90%","8,81%","0,72%","0,82%","0,73%","2,17%","-2,01%","-1,20%","-2,50%","R$ 82.837.286,05","R$ 99,58","0,90",N/A,N/A,N/A,N/A,N/A,N/A,0
XPML11,Shoppings,"R$ 106,21",26023.0,"R$ 0,15","0,14%","0,69%","2,05%","3,15%","0,23%","0,34%","0,26%","0,69%","2,64%","2,78%","-4,29%","R$ 2.006.411.657,54","R$ 110,20","0,96",N/A,N/A,N/A,N/A,"5,20%",N/A,13
BTLG11,Logistica,"R$ 113,00",52821.0,"R$ 0,63","0,56%","1,60%","3,24%","6,06%","0,53%","0,54%","0,51%","1,60%","-1,73%","-1,18%","-3,77%","R$ 1.309.829.892,03","R$ 100,88","1,12",N/A,N/A,N/A,N/A,"0,00%","0,00%",12
FCFL11,Outros,"R$ 110,00",6250.0,"R$ 0,61","0,56%","1,60%","2,99%","5,99%","0,53%","0,50%","0,50%","1,60%","-2,22%","-1,68%","-1,28%","R$ 352.271.509,56","R$ 101,40","1,08",N/A,N/A,N/A,N/A,"0,00%",N/A,1
BRLA11,Hibrido,N/A,N/A,"R$ 0,97","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 122.505.179,38","R$ 125,49",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
HRDF11,Hibrido,"R$ 1,70",1410.0,"R$ 6,80",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 13.751.330,15","R$ 1,81","0,94",N/A,N/A,N/A,N/A,N/A,N/A,0
CJCT11,Lajes Corporativas,"R$ 62,00",2621.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 182.926.242,57","R$ 67,50","0,92",N/A,N/A,N/A,N/A,"59,00%",N/A,1
HCRI11,Hospital,"R$ 453,00",437.0,"R$ 3,08",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 60.625.329,85","R$ 303,13","1,49",N/A,N/A,N/A,N/A,"0,00%",N/A,1
AFOF11,Titulos e Val. Mob.,"R$ 183,98",5.0,"R$ 8,76",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 39.057.853,78","R$ 106,39","1,73",N/A,N/A,N/A,N/A,N/A,N/A,0
VVPR11,Hibrido,"R$ 98,72",1865.0,"R$ 0,62",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 231.091.836,17","R$ 100,22","0,99",N/A,N/A,N/A,N/A,"0,00%",N/A,6
BPML11,Shoppings,"R$ 87,99",780.0,"R$ 0,61",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 593.265.060,03","R$ 137,81","0,64",N/A,N/A,N/A,N/A,"5,60%",N/A,7
KINP11,Residencial,"R$ 13,83",262.0,"R$ 0,19",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 61.010.884,15","R$ 8,54","1,62",N/A,N/A,N/A,N/A,N/A,N/A,0
PLOG11,"","R$ 94,95",118.0,"R$ 0,04",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 71.718.868,95","R$ 95,63","0,99",N/A,N/A,N/A,N/A,"0,00%",N/A,1
LFTT11,Residencial,"R$ 105,00",41.0,"R$ 0,75",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 365.605.185,72","R$ 56,91","1,85",N/A,N/A,N/A,N/A,N/A,N/A,0
RNDP11,Titulos e Val. Mob.,"R$ 674,97",30.0,"R$ 175,00","21,54%","22,45%","23,89%","26,10%","7,48%","3,98%","2,17%","22,86%","-2,11%","18,98%","28,29%","R$ 100.962.386,98","R$ 939,35","0,72",N/A,N/A,N/A,N/A,N/A,N/A,0
FLRP11,Shoppings,"R$ 1.319,96",33.0,"R$ 5,65","0,43%","1,38%","2,40%","0,00%","0,46%","0,40%","0,00%","1,38%","0,00%","0,43%","0,61%","R$ 108.310.101,43","R$ 1.660,38","0,79",N/A,N/A,N/A,N/A,"1,24%",N/A,1
BTAL11,Outros,"R$ 104,30",25585.0,"R$ 0,35","0,34%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,34%","0,00%","0,34%","0,34%","R$ 599.475.171,69","R$ 100,20","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
SEQR11,Outros,"R$ 92,03",1357.0,"R$ 0,67","0,73%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,73%","0,00%","0,73%","0,73%","R$ 155.646.919,90","R$ 105,02","0,88",N/A,N/A,N/A,N/A,N/A,N/A,0
MGCR11,Titulos e Val. Mob.,"R$ 101,90",3425.0,"R$ 0,95","0,94%","2,58%","0,00%","0,00%","0,86%","0,00%","0,00%","2,58%","1,95%","2,91%","7,70%","R$ 68.736.081,82","R$ 95,48","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
BLMG11,Outros,"R$ 104,03",5669.0,"R$ 0,73","0,69%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,38%","0,00%","0,69%","1,39%","R$ 189.043.776,02","R$ 99,50","1,05",N/A,N/A,N/A,N/A,"0,00%",N/A,1
CNES11,Lajes Corporativas,"R$ 42,46",4080.0,"R$ 0,08","0,18%","0,72%","1,82%","3,98%","0,24%","0,30%","0,33%","0,72%","-7,93%","-7,77%","-19,53%","R$ 270.777.027,80","R$ 91,81","0,46",N/A,N/A,N/A,N/A,"36,30%",N/A,1
VGHF11,Titulos e Val. Mob.,"R$ 9,55",32646.0,"R$ 0,07",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 160.146.466,10","R$ 9,72","0,98",N/A,N/A,N/A,N/A,N/A,N/A,0
ERCR11,Hibrido,"R$ 90.000,00",1.0,"R$ 1,26",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 222.673.897,46","R$ 93.717,97","0,96",N/A,N/A,N/A,N/A,N/A,N/A,0
BLMC11,Outros,N/A,N/A,"R$ 0,33","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",N/A,"0,00%","0,00%","0,00%","R$ 9.934.269,90","R$ 99,34",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EDGA11,Lajes Corporativas,"R$ 26,75",2572.0,"R$ 0,15","0,55%","1,55%","0,00%","0,00%","0,52%","0,00%","0,00%","1,55%","-0,23%","0,32%","-13,23%","R$ 300.073.035,69","R$ 78,72","0,34",N/A,N/A,N/A,N/A,"46,26%",N/A,1
